InChI_Key_Planar	TAGS	NCBITaxonomy	UBERONBodyPartName	Lifestyle_Tag
AAASNKNLMQBKFV	food			
AABZZWPMCAZHFC	naturalproduct|bacterial|bacterial_produced			
AACVPYUISGWNOU	naturalproduct			
AADNEQWIZKTMBL	naturalproduct			
AADVZSXPNRLYLV	naturalproduct			
AAEVYOVXGOFMJO	|food			food consumption
AAGFPTSOPGCENQ	naturalproduct			
AAHSTEUFCXJGIV	naturalproduct			
AAKHGLJWUOZNTQ	naturalproduct			
AALLCALQGXXWNA	naturalproduct			
AAOFJKLTRKOQTQ	|food|human|naturalproduct	9606|Homo sapiens		food consumption
AAOVKJBEBIDNHE	drug|food|human	:9606|Homo sapiens:73337|Ceratotherium simum simum	blood|urine|feces	|food consumption|drug or medication use
AARIHENRSOEJOC	naturalproduct			
AAWZDTNXLSGCEK	food|plant_angiospermae|naturalproduct_plant|plant|human|naturalproduct	1801580|Byrsonima intermedia:9606|Homo sapiens	blood|feces|saliva|urine	|food consumption
ABALGCGSAUWIRD	naturalproduct			
ABBPFXQJIWUCKF	algal|marine_cyanobacteria_insitu|naturalproduct_bacterial|naturalproduct|bacterial|bacterial_produced			
ABFCOJLLBHXNOU	food|fungal|fungal_produced			
ABHHIGWFFMCQOC	naturalproduct_bacterial|naturalproduct|bacterial|bacterial_produced	1883|Streptomyces		
ABLACSIRCKEUOB	naturalproduct|bacterial|bacterial_produced			
ABOLXXZAJIAUGR	human_modified		blood|urine|feces|liver|lower digestive tract	pain
ABRULANJVVJLFI	food|plant|naturalproduct_plant|plant_angiospermae|naturalproduct	:1804192|Stigmaphyllon caatingicola:151831|Heteropterys tomentosa:151831|Heteropterys eglandulosa		
ABSANOBAGBYLHY	naturalproduct			
ABTRFGSPYXCGMR	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ABUBCBFUQXIEAU	naturalproduct			
ABVCUBUIXWJYSE	|food|human	9606|Homo sapiens		food consumption
ABVDJKDAAWCYKH	naturalproduct			
ABXZOXDTHTTZJW	food|human|plant|plant_angiospermae|naturalproduct_plant	:9606|Homo sapiens:1561394|Alicia anisopetala:1561753|Bronwenia megaptera:1804192|Stigmaphyllon caatingicola	urine	|food consumption
ABZLZZCDSLOCNF	naturalproduct			
ACFIXJIJDZMPPO	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ACGDKVXYNVEAGU	drug|human	9606|Homo sapiens		drug or medication use
ACGHJVZDNQZJOV	naturalproduct|fungal|fungal_produced			
ACGUYXCXAPNIKK	drug|human	9606|Homo sapiens		drug or medication use
ACGWJYPSNRKNPW	naturalproduct			
ACHDMUPTZYZIGR	biocide_antimicrobial|fungal|naturalproduct_plant|animal|plant|plant_angiospermae	34433|Leucoagaricus		
ACNHBCIZLNNLRS	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ACRHBAYQBXXRTO	drug			
ACRIYYKEWCXQOS	food_source_plant|plant|naturalproduct_plant|plant_angiospermae|naturalproduct	:1804185|Stigmaphyllon alternifolium:1027211|Stigmaphyllon ciliatum:1561750|Banisteriopsis stellaris	blood	
ACTIUHUUMQJHFO	drug|food|human|naturalproduct|fungal|fungal_produced	9606|Homo sapiens		food consumption|drug or medication use
ACTOXUHEUCPTEW	naturalproduct|bacterial|bacterial_produced			
ACVGWSKVRYFWRP	|human|naturalproduct	9606|Homo sapiens		
ACWBBAGYTKWBCD	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ACWBQPMHZXGDFX	drug|synthetic|human	:9606|Homo sapiens	blood|urine	|drug or medication use|hypertension
ACXLVKYMISNUFD	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ACXODXBUYIMEFD	naturalproduct|fungal|fungal_produced			
ACYXDIZTQDLTCB	naturalproduct			
ACZFBYCNAVEFLC	naturalproduct			
ADACAMXIRQREOB	naturalproduct|fungal|fungal_produced			
ADCBKYIHQQCFHE	naturalproduct			
ADDCNOCQPWDJSR	naturalproduct			
ADDLXGZBTXNVDS	naturalproduct			
ADEBPBSSDYVVLD	drug		blood|urine	
ADEFODYSLAAMOM	naturalproduct			
ADFCQWZHKCXPAJ	bacterial_modified|animal	73337|Ceratotherium simum simum	feces	food consumption_soy
ADFWQBGTDJIESE	food|human|naturalproduct	:9606|Homo sapiens	feces|saliva	|food consumption
ADFXKUOMJKEIND	synthetic			
ADFZZQAJJGHYDR	naturalproduct			
ADIALAZTBGIRSN	fungal|fungal_produced			
ADIBRWUTYMYVDH	naturalproduct			
ADIMAYPTOBDMTL	drug|human	9606|Homo sapiens		drug or medication use
ADMPTTDMVDGFDH	bacterial_produced|naturalproduct_bacterial	1883|Streptomyces	not applicable	
ADNCDMHZHONBRR	food|naturalproduct			
ADOWBZYFYUOPDL	naturalproduct			
ADPBTBPPIIKLEH	naturalproduct			
ADRQFDIWPRFKSP	naturalproduct			
ADSALMJPJUKESW	|human|naturalproduct	9606|Homo sapiens		
ADVGKWPZRIDURE	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ADVPTQAUNPRNPO	drug|human|naturalproduct	9606|Homo sapiens		drug or medication use
AEDDIBAIWPIIBD	food|human|naturalproduct	:9606|Homo sapiens	blood	|food consumption
AEKPZNDJHWFONI	naturalproduct			
AEMFNILZOJDQLW	human|drug|food|naturalproduct	:9606|Homo sapiens	blood|cerebrospinal fluid|urine	|food consumption|drug or medication use
AEMOLEFTQBMNLQ	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
AEMRFAOFKBGASW	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
AEOCXXJPGCBFJA	drug|human	9606|Homo sapiens		drug or medication use
AEOORGIQHLESFZ	naturalproduct			
AEPMKZIOUKHDOO	naturalproduct|bacterial|bacterial_produced			
AEQDJSLRWYMAQI	drug|naturalproduct			drug or medication use
AERBNCYCJBRYDG	naturalproduct_fungal|naturalproduct_plant|human|food|naturalproduct|fungal|fungal_produced		feces	|food consumption
AERWTVOXUHXGAE	bacterial|bacterial_produced			
AETKQQBRKSELEL	naturalproduct			
AEUTYOVWOVBAKS	drug|human|naturalproduct	9606|Homo sapiens		drug or medication use
AEWHYWSPVRZHCT	|food|human	9606|Homo sapiens		food consumption
AEXJMQYVIPHZDJ	|food|human|naturalproduct	9606|Homo sapiens		food consumption
AEYUKLGVHVHAGC	naturalproduct			
AFBPFSWMIHJQDM	|food|naturalproduct			food consumption
AFCAWRFTSGVRQA	naturalproduct			
AFCGFAGUEYAMAO	drug|human|naturalproduct	9606|Homo sapiens		drug or medication use
AFDANKUHSLVEBJ	plant|naturalproduct_plant|naturalproduct			
AFDXODALSZRGIH	food|human|naturalproduct	9606|Homo sapiens	blood|urine	plant-based chemical exposure|food consumption
AFENDNXGAFYKQO	|food|human	9606|Homo sapiens		food consumption
AFGMWONXXNDGGE	naturalproduct			
AFHCRQREQZIDSI	naturalproduct			
AFHJQYHRLPMKHU	|food|human|naturalproduct	9606|Homo sapiens		food consumption
AFOLBAYDTRBYBA	bacterial|bacterial_produced			
AFOLOMGWVXKIQL	|food|human	9606|Homo sapiens		food consumption
AFQWYRUBZJYCIF	naturalproduct			
AFSDNFLWKVMVRB	food|drug|human|plant|plant_angiospermae|naturalproduct_plant|naturalproduct|fungal|fungal_produced	:9606|Homo sapiens:151817|Ectopopterys soejartoi:217129|Acridocarpus smeathmannii:1027199|Peixotoa reticulata	blood|urine	|food consumption|drug or medication use
AFUDERYHOUWFDT	naturalproduct			
AFUKNJHPZAVHGQ	food			
AFVFQIVMOAPDHO	|food|human	9606|Homo sapiens		food consumption
AFWTZXXDGQBIKW	naturalproduct|bacterial|bacterial_produced			
AFYCEAFSNDLKSX	environmental			plant-based chemical exposure
AFYIWKNGSIYXCQ	naturalproduct			
AGBQKNBQESQNJD	|food|naturalproduct			food consumption
AGIQIKMGJVLKMA	naturalproduct			
AGMMTXLNIQSRCG	drug|human	9606|Homo sapiens		drug or medication use
AGOYDEPGAOXOCK	biocide_antimicrobial|drug|human	:9606|Homo sapiens	blood|urine	|drug or medication use
AGPKZVBTJJNPAG	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
AGSPXMVUFBBBMO	|food|human	9606|Homo sapiens		food consumption
AGXWFKNWQFBFLQ	fungal|fungal_produced			
AGZMFTKKLPHOMT	naturalproduct			
AHANXAKGNAKFSK	|food|human|animal|naturalproduct	9606|Homo sapiens:73337|Ceratotherium simum simum	|feces	food consumption
AHCYMLUZIRLXAA	drug|food|human	9606|Homo sapiens		food consumption|drug or medication use
AHKUFTRUMQKIPH	naturalproduct			
AHLBNYSZXLDEJQ	drug|human|naturalproduct	:9606|Homo sapiens	blood|urine	|drug or medication use
AHLPHDHHMVZTML	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
AHNUBWYOIHCGFN	naturalproduct			
AHOUBRCZNHFOSL	drug|human|naturalproduct	9606|Homo sapiens		drug or medication use
AHSWTDRJRRNLLR	naturalproduct			
AHTRGGWSBFOEEG	naturalproduct			
AHUAGKUYEMQHTH	naturalproduct			
AHUBGMIKOUFGDE	bacterial|bacterial_produced			
AHYOMNWKYGMYMB	naturalproduct			
AIFRHYZBTHREPW	naturalproduct_fungal|food|human|plant|plant_angiospermae|naturalproduct_plant|naturalproduct|fungal|fungal_produced	:9606|Homo sapiens	feces	|food consumption
AIFVFVGRWAMEBM	naturalproduct			
AIFXMSDWXBFQTF	fungal|fungal_produced			
AIHVXKPMAWGFLZ	fungal|fungal_produced			
AIJULSRZWUXGPQ	drug|food|human|naturalproduct|bacterial|bacterial_produced	9606|Homo sapiens		food consumption|drug or medication use
AIONOLUJZLIMTK	food|drug|human|naturalproduct	:9606|Homo sapiens	blood|feces|urine	food consumption_citrus|food consumption|drug or medication use
AIULWNKTYPZYAN	food|naturalproduct		feces	food consumption_ginger
AIZFEOPQVZBNGH	drug			drug or medication use
AJACDNCVEGIBNA	naturalproduct			
AJAGLPDYKVWJQE	plant|plant_angiospermae|naturalproduct_plant|naturalproduct			
AJERVVHSERWGFL	|food|naturalproduct			food consumption
AJFWREUFUPEYII	|human|naturalproduct	9606|Homo sapiens		
AJGTYVVYMHNIJE	fungal|fungal_produced			
AJLFOPYRIVGYMJ	drug|naturalproduct			drug or medication use
AJORQYDPWJZVAU	algal|marine_cyanobacteria_insitu|naturalproduct_bacterial|naturalproduct|bacterial|bacterial_produced			
AJPIUNPJBFBUKK	naturalproduct			
AJRJPORIQGYFMT	drug|drug_metabolite		blood|urine	
AJTULIWKBMDPCJ	naturalproduct			
AJXPJJZHWIXJCJ	drug|human	9606|Homo sapiens		drug or medication use
AKENCGNASJPQNR	naturalproduct_plant|plant|plant_angiospermae			
AKFIXMYXISUTAF	naturalproduct			
AKFVOKPQHFBYCA	naturalproduct|bacterial|bacterial_produced			
AKIHYQWCLCDMMI	|food|human|naturalproduct	9606|Homo sapiens		food consumption
AKIRMBMADXTLAC	naturalproduct			
AKNILCMFRRDTEY	naturalproduct			
AKNNEGZIBPJZJG	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
AKORZGHZNSWPMF	bacterial|bacterial_produced			
AKPJXLBXDLSOFY	naturalproduct			
AKPLHCDWDRPJGD	drug|food|human	9606|Homo sapiens		food consumption|drug or medication use
AKSMCYXVBDZJRK	fungal|fungal_produced			
AKTRFOPOAKDICT	naturalproduct			
AKUJBENLRBOFTD	drug			drug or medication use
AKVBCGQVQXPRLD	|food|human	9606|Homo sapiens		food consumption
AKXOIHNFHOEPHN	naturalproduct			
AKYUFOZFLOQQQL	bacterial|bacterial_produced			
ALDOLERJIYTYDY	naturalproduct			
ALDYXYRBHNYQRB	vitamin			
ALEXXDVDDISNDU	drug|naturalproduct			skin disease|drug or medication use
ALFBBRGNEWVYDN	naturalproduct|fungal|fungal_produced			
ALFUZUYJAXAEKE	naturalproduct|bacterial|bacterial_produced			
ALGDHWVALRSLBT	naturalproduct			
ALGYTGOYQATWBA	naturalproduct			
ALHUZKCOMYUFRB	food		feces|urine	
ALJXWCROGAMOBL	naturalproduct			
ALLQMEDAYDKMIO	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ALLWOAVDORUJLA	drug			drug or medication use
ALOUNLDAKADEEB	commercial_building		feces	
ALPIUWBZQOROIJ	plant|naturalproduct_plant|naturalproduct			
ALRHLSYJTWAHJZ	drug|food|human|naturalproduct|fungal|fungal_produced	9606|Homo sapiens		food consumption|drug or medication use
ALWKGYPQUAPLQC	drug|human	9606|Homo sapiens		drug or medication use
ALXLLOQTGLPCFG	fungal|fungal_produced			
ALYNCZNDIQEVRV	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
AMAPEXTUMXQULJ	drug		blood|feces	
AMBGZHQTMCPRDB	bacterial|bacterial_produced			
AMBQHHVBBHTQBF	plant|naturalproduct_plant			
AMIDBPAREATYGJ	human			
AMKYESDOVDKZKV	naturalproduct|fungal|fungal_produced			
AMOGMTLMADGEOQ	naturalproduct			
AMPTWLHXXYAHSB	naturalproduct			
AMQJEAYHLZJPGS	naturalproduct		feces|saliva|skin of body	
AMTATQQZOONDAP	naturalproduct			
AMTSLHRSERHBCF	naturalproduct			
ANEBWFXPVPTEET	drug			drug or medication use
ANEICJWUPVGZBQ	naturalproduct			
ANJTVLIZGCUXLD	drug|naturalproduct			drug or medication use
ANKKFXJHCGAFIY	bacterial|bacterial_produced			
ANNNBEZJTNCXHY	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ANOUKFYBOAKOIR	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ANOXEUSGZWSCQL	naturalproduct			
ANRKEHNWXKCXDB	|human	9606|Homo sapiens		
ANSCENNXWQFDJG	naturalproduct			
ANTSCNMPPGJYLG	drug|human	9606|Homo sapiens		drug or medication use
ANVAOWXLWRTKGA	|human|naturalproduct	9606|Homo sapiens		
ANVFDWBCVDQNEZ	naturalproduct			
ANXMAYKAWZAHMB	naturalproduct			
ANZXOIAKUNOVQU	drug|human	9606|Homo sapiens		drug or medication use
AOCCRKXUBBAOQI	naturalproduct			
AOHCBEAZXHZMOR	naturalproduct_fungal|naturalproduct_plant|food_source_plant|food		blood|urine|feces	|food consumption
AOJJSUZBOXZQNB	drug|human|naturalproduct	9606|Homo sapiens		drug or medication use
AOLLRBVQJZTTPF	naturalproduct			
AOLOMULCAJQEIG	naturalproduct			
AOMUHOFOVNGZAN	environmental|food_additive|personalcareproduct|food|human	:9606|Homo sapiens	feces	|food consumption
AONLJCCUYGGOSW	naturalproduct			
AOOSHVWNBJZOEH	food			
AOPMSFXOYJXDNJ	naturalproduct			
AOUZZRQCLQLQIF	plant|naturalproduct_plant|naturalproduct			
AOXGLIJSZLOQNZ	food|human|naturalproduct	:9606|Homo sapiens	blood|urine	|food consumption
AOZKTJDXDYSFAE	naturalproduct			
APAJFZPFBHMFQR	naturalproduct			
APAWOEBSLLGWDF	naturalproduct			
APDLCSPGWPLYEQ	human	9606|Homo sapiens		
APEJMQOBVMLION	naturalproduct			
APGIPIWYVRPJKL	naturalproduct|fungal|fungal_produced			
APIXJSLKIYYUKG	drug			drug or medication use
APJDQUGPCJRQRJ	naturalproduct			
APJYDQYYACXCRM	drug|food|human|plant|plant_angiospermae|naturalproduct_plant|naturalproduct	9606|Homo sapiens:151831|Heteropterys umbellata:1561750|Banisteriopsis stellaris:151831|Heteropterys campestris		food consumption|drug or medication use
APKFDSVGJQXUKY	drug|human|naturalproduct	9606|Homo sapiens		drug or medication use
APLKWZASYUZSBL	fungal|naturalproduct|fungal_produced			
APMPIOHITHNSGF	naturalproduct|fungal|fungal_produced			
APOLYTJSSKGYDB	naturalproduct			
APSZCQZJXWEGJS	naturalproduct|fungal|fungal_produced			
APZBLWQCTHVAMR	naturalproduct			
AQAKHZVPOOGUCK	|human|naturalproduct	9606|Homo sapiens		
AQBJITSSPIIUAM	bacterial|bacterial_produced			
AQBQBBLJTDSVLC	naturalproduct			
AQBZCCQCDWNNJQ	naturalproduct			
AQCHWTWZEMGIFD	drug|human	9606|Homo sapiens		drug or medication use
AQCKKGIVKOHRLM	plant|naturalproduct_plant|naturalproduct|fungal|fungal_produced			
AQDQRSAVDNFBEA	naturalproduct			
AQHHHDLHHXJYJD	drug|synthetic|food|human|naturalproduct	:9606|Homo sapiens	urine|feces	hypertension|food consumption|drug or medication use
AQIXAKUUQRKLND	drug|food|human	9606|Homo sapiens		food consumption|drug or medication use
AQLCKWUMMOZIEY	plant|naturalproduct_plant|naturalproduct			
AQMZAOSKHKZGNI	environmental			
AQNDDEOPVVGCPG	drug|human	9606|Homo sapiens		drug or medication use
AQOMLMMSAVDODV	naturalproduct			
AQRNEKDRSXYJIN	naturalproduct			
AQVANOYBWBHIEH	naturalproduct|bacterial|bacterial_produced			
AQVOANKSGFAANH	naturalproduct			
AQYCMVICBNBXNA	|food|human	9606|Homo sapiens		food consumption
AQZHBCDRWFMXIN	naturalproduct			
ARBHXJXXVVHMET	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ARFHIAQFJWUCFH	drug			drug or medication use
ARFSAPKKATWHHO	naturalproduct			
ARGKVCXINMKCAZ	food|human|plant|naturalproduct_plant|naturalproduct	:9606|Homo sapiens	blood	|food consumption
ARILQDNHZGKJBK	naturalproduct			
ARIWANIATODDMH	environmental|personalcareproduct		blood|urine	
ARJZZFJXSNJKGR	|food|human	9606|Homo sapiens		food consumption
ARKPSPWBJDFWAE	naturalproduct|fungal|fungal_produced			
ARNBRPDSKOETGW	naturalproduct			
ARNVYCOTFWJTBS	naturalproduct			
ARPKCZZZMDEOIF	naturalproduct			
ARQXEQLMMNGFDU	|food|naturalproduct			food consumption
ARQYPVZFUYHQFR	|human	9606|Homo sapiens		
ARSRJFRKVXALTF	food|drug|human|naturalproduct	:9606|Homo sapiens	feces	|food consumption|drug or medication use
ARYSAKCPIBLSDO	plant|naturalproduct_plant|naturalproduct			
ARZWATDYIYAUTA	|food|human|naturalproduct	9606|Homo sapiens		food consumption
ASDCLYXOQCGHNT	drug			
ASJSAQIRZKANQN	naturalproduct			
ASKKBGQVSVTIAW	plant|naturalproduct_plant|naturalproduct			
ASLWPAWFJZFCKF	environmental			
ASMQGLCHMVWBQR	environmental			
ASNFTDCKZKHJSW	drug|naturalproduct			drug or medication use
ASOANYACTYMGJF	naturalproduct			
ASOIHOGDYISNRH	naturalproduct|fungal|fungal_produced			
ASRBKZHDORPEHO	naturalproduct|bacterial|bacterial_produced			
ASTPOGDWGNJVEW	|human	9606|Homo sapiens		
ASUTZQLVASHGKV	drug|human|naturalproduct	9606|Homo sapiens	|feces	drug or medication use|Alzheimer's disease
ASWBNKHCZGQVJV	human|fungal|marine_diatom|dissolvedorganicmatter_water_saline|microalgal	9606|Homo sapiens:34433|Leucoagaricus:41953|Pseudo-nitzschia		
ASWVTGNCAZCNNR	MS_internal_standard|drug|food|human|biocide_antimicrobial	:9606|Homo sapiens	blood|urine	|food consumption|drug or medication use
ASXBYYWOLISCLQ	drug|naturalproduct|bacterial|bacterial_produced			drug or medication use
ASZIGQFYGXSPCO	naturalproduct			
ATBTWVUHMOVISW	bacterial|bacterial_produced|food			
ATBZZQPALSPNMF	|human|naturalproduct	9606|Homo sapiens		
ATCGGEJZONJOCL	drug			drug or medication use
ATCRIUVQKHMXSH	biocide_insecticide|environmental|naturalproduct|bacterial|bacterial_produced			
ATDWJOOPFDQZNK	fungal|culture_fungal|fungal_produced|naturalproduct|bacterial|bacterial_produced			
ATEFPOUAMCWAQS	|food|human|plant|plant_angiospermae|naturalproduct_plant|naturalproduct	9606|Homo sapiens		food consumption
ATHGHQPFGPMSJY	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
ATHVAWFAEPLPPQ	|human	9606|Homo sapiens		
ATJVZXXHKSYELS	food			
ATQPZSQVWCPVGV	naturalproduct|fungal|fungal_produced			
ATVXWIBQUWJBAT	naturalproduct			
AUBPDZJRJKZQEX	food		blood|urine	
AUEJLPRZGVVDNU	human|food		feces|saliva	|mental depression
AUGQEEXBDZWUJY	naturalproduct|fungal|fungal_produced			
AUHQGXIVPHNDEE	naturalproduct			
AUJXJFHANFIVKH	food			
AUJXLBOHYWTPFV	naturalproduct|bacterial|bacterial_produced			
AUNGANRZJHBGPY	dissolvedorganicmatter_water_saline|food|vitamin|bacterial_produced|naturalproduct|drug|human	679202|Escherichia coli:9606|Homo sapiens	blood|cerebrospinal fluid|feces|saliva|urine	food consumption_vitamins|food consumption|drug or medication use
AUNLUWJOQFJDDA	naturalproduct			
AURFZBICLPNKBZ	naturalproduct			
AUTOLBMXDDTRRT	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
AUVKOEQGZIDTGI	naturalproduct			
AUVVAXYIELKVAI	food|drug|naturalproduct			|drug or medication use
AUYYCJSJGJYCDS	drug|human|naturalproduct	9606|Homo sapiens		drug or medication use
AUZONCFQVSMFAP	drug|human|naturalproduct	:9606|Homo sapiens	blood|urine	alcohol dependence|drug or medication use
AVAQRWVGWWNBIN	naturalproduct|fungal|fungal_produced			
AVBLSPPEZPLINV	naturalproduct			
AVFIYMSJDDGDBQ	naturalproduct			
AVGVCMDFODSDCK	food|naturalproduct			
AVIRMQMUBGNCKS	naturalproduct|fungal|fungal_produced			
AVJNWIDNAJCPRK	naturalproduct			
AVKUERGKIZMTKX	biocide_antimicrobial|drug|food|human	:9606|Homo sapiens	blood|urine	|food consumption|drug or medication use
AVODUFXCUYKMAY	naturalproduct			
AVOLMBLBETYQHX	drug|human	9606|Homo sapiens		drug or medication use
AVPAEFHIEZLSLZ	naturalproduct			
AVSXSVCZWQODGV	|human|naturalproduct	9606|Homo sapiens		
AVVJEAPNVWBPQC	naturalproduct			
AVXURJPOCDRRFD	|food|human	9606|Homo sapiens		food consumption
AVZATKWNGXCSDN	naturalproduct|fungal|fungal_produced			
AWCDBKHWVKLXEE	naturalproduct			
AWCUZBLYCWUTRL	|human|naturalproduct	9606|Homo sapiens		
AWDKYYYAAQQLEF	plant|naturalproduct_plant|naturalproduct			
AWDRATDZQPNJFN	|food|human|naturalproduct	9606|Homo sapiens		food consumption
AWEFUQDNSBBNCR	naturalproduct			
AWFZJSUJFSUBQU	naturalproduct			
AWJLARVNMUSPPN	naturalproduct|fungal|fungal_produced			
AWJUIBRHMBBTKR	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
AWKLBIOQCIORSB	drug|human	9606|Homo sapiens		drug or medication use
AWMHMGFGCLBSAY	|human|naturalproduct	9606|Homo sapiens		
AWOGQCSIVCQXBT	food		saliva	
AWTYKUNFPBFFHC	naturalproduct			
AWUCVROLDVIAJX	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
AWVMHXZWAKRDGG	food			
AWVNBSKIKNPOBG	plant|naturalproduct_plant|naturalproduct	3977|Euphorbiaceae:38845|Euphorbia dendroides		
AWYRDXDPCQRJHE	naturalproduct			
AXAACNNFMJZAGJ	naturalproduct			
AXFYFNCPONWUHW	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
AXNVHPCVMSNXNP	naturalproduct			
AXNXSFBKZQIMPF	naturalproduct			
AXODOWFEFKOVSH	human|dissolvedorganicmatter_water_saline	9606|Homo sapiens	blood	
AXOIZCJOOAYSMI	drug|human	9606|Homo sapiens		drug or medication use
AXOJRQLKMVSHHZ	|food			food consumption
AXRYRYVKAWYZBR	drug|human|naturalproduct	:9606|Homo sapiens	blood|urine	|drug or medication use
AXUYMUBJXHVZEL	naturalproduct			
AXVZFRBSCNEKPQ	food		cerebrospinal fluid	
AXWLJQKHNCEKHK	bacterial|bacterial_produced			
AXZCNBVMHHTPKA	naturalproduct			
AYAUOXWJIWVPSO	naturalproduct			
AYDBBWJGHVYDQE	naturalproduct			
AYEKOFBPNLCAJY	drug|human	9606|Homo sapiens		drug or medication use
AYFVYJQAPQTCCC	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
AYGOSKULTISFCW	naturalproduct			
AYIRNRDRBQJXIF	drug			drug or medication use
AYMYWHCQALZEGT	food|naturalproduct			|food consumption
AYPYRCXQBMEHMB	bacterial|bacterial_produced			
AYRXSINWFIIFAE	food|plant			
AYXPYQRXGNDJFU	plant|naturalproduct_plant			
AYXYPKUFHZROOJ	drug|human	:9606|Homo sapiens	blood|urine	|drug or medication use
AZAZKLKDEOMJBJ	naturalproduct			
AZBFLDLYPARPDM	food			
AZEASYGWRLHADI	naturalproduct			
AZEGJHGXTSUPPG	drug			drug or medication use
AZELSOYQOIUPBZ	|food|naturalproduct			food consumption
AZFFBGWLLZUTDW	naturalproduct			
AZFLJNIPTRTECV	drug			drug or medication use
AZJUJOFIHHNCSV	plant|naturalproduct_plant|biocide_antimicrobial		feces	
AZKQDXZMKREFDY	naturalproduct			
AZKVWQKMDGGDSV	naturalproduct|plant|food|human	:9606|Homo sapiens	saliva	|food consumption
AZLASBBHHSLQDB	food		saliva	
AZOCECCLWFDTAP	food		saliva	
AZQWKYJCGOJGHM	|food|human|naturalproduct	9606|Homo sapiens		food consumption
AZSNMRSAGSSBNP	naturalproduct|bacterial|bacterial_produced			
AZWGEBXBDOIOHW	naturalproduct			
AZYVCLJYWIHOAD	naturalproduct			
BACHLISBEFYBLZ	naturalproduct|fungal|fungal_produced			
BACLASYRJRZXMY	naturalproduct			
BACYUWVYYTXETD	environmental|synthetic			products containing surfactants
BAHUBXAYVOCLNA	naturalproduct			
BAKYVUHOODEWGV	naturalproduct			
BAMZIPMKRIZGEQ	naturalproduct			
BAPAICNRGIBFJT	|human	9606|Homo sapiens		
BAQAVOSOZGMPRM	food|food_additive		feces	
BAQCROVBDNBEEB	|human	9606|Homo sapiens		
BAQMYDQNMFBZNA	|food|human|naturalproduct	9606|Homo sapiens		food consumption
BARAUATXLYPTGX	naturalproduct			
BATCUENAARTUKW	environmental			
BAUXUWNOTMKKET	naturalproduct			
BAVONGHXFVOKBV	food|human|naturalproduct	:9606|Homo sapiens	blood|feces|saliva	|food consumption
BAVYZALUXZFZLV	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
BAWFJGJZGIEFAR	biocide_antimicrobial|human|drug|food|naturalproduct|marine_diatom|dissolvedorganicmatter_water_saline|microalgal	41953|Pseudo-nitzschia:9606|Homo sapiens	blood	|food consumption|drug or medication use
BAYCKSGCVUIVNR	bacterial|bacterial_produced			
BAYGVMXZJBFEMB	drug|human	9606|Homo sapiens		drug or medication use
BBIDMUQZCCGABN	naturalproduct|fungal|fungal_produced			
BBIQXQHDNKDTQK	naturalproduct			
BBIXOODYWPFNDT	human		feces	
BBMBCHAXOBFQPC	bacterial|bacterial_produced			
BBMULGJBVDDDNI	drug|naturalproduct|bacterial|bacterial_produced			drug or medication use
BBNQQADTFFCFGB	naturalproduct			
BBNYCLAREVXOSG	food		feces	
BBOWBNGUEWHNQZ	|food|human|naturalproduct	9606|Homo sapiens		food consumption
BBPOLSMDPRNEHZ	naturalproduct			
BBRMJCAPNGJKEM	naturalproduct			
BBUQNXDJRVCZTI	naturalproduct			
BBXXLROWFHWFQY	biocide_antimicrobial			
BBYWOYAFBUOUFP	human|food	:9606|Homo sapiens	feces	|food consumption
BBZCPUCZKLTAJQ	naturalproduct			
BBZCRSFPHPHYKT	food			
BCEHBSKCWLPMDN	drug|synthetic|human	:9606|Homo sapiens	feces	drug or medication use
BCFGMOOMADDAQU	drug|human	9606|Homo sapiens		drug or medication use
BCGWQEUPMDMJNV	drug|food|human	:9606|Homo sapiens	blood|cerebrospinal fluid|feces|saliva|urine	|food consumption|drug or medication use
BCIWKKMTBRYQJU	food		feces	food consumption_ginger
BCJMNZRQJAVDLD	naturalproduct			
BCNBWICEIXAVQF	naturalproduct			
