InChI_Key_Planar	TAGS	NCBITaxonomy	UBERONBodyPartName	Lifestyle_Tag
OYYDSUSKLWTMMQ	|human	9606|Homo sapiens		
OYYKBWAFVIAVCP	bacterial|bacterial_produced			
OZBAVEKZGSOMOJ	food|naturalproduct_plant|naturalproduct		blood	|food consumption
OZDABLANSWPSGY	naturalproduct			
OZEIRJMOKXRLCR	naturalproduct			
OZFAGHUNGAZEMO	plant|naturalproduct_plant			
OZFIJBRLEXJLPY	naturalproduct			
OZGNYLLQHRPOBR	|human	9606|Homo sapiens		
OZIPFYKAIOOVEJ	naturalproduct			
OZJPLYNZGCXSJM	naturalproduct			
OZLPUNFFCJDMJD	|human	9606|Homo sapiens		
OZRGLPAXIYOWIG	human|mice			
OZRNSSUDZOLUSN	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
OZWKMVRBQXNZKK	drug|human	9606|Homo sapiens		drug or medication use
OZXFMXVSIMKHPG	naturalproduct			
PACBGANPVNHGNP	|food|human|naturalproduct	9606|Homo sapiens		food consumption
PACBNJFGEWTGCE	naturalproduct			
PACOALGXOJLUSI	naturalproduct			
PADQINQHPQKXNL	food|human|plant|plant_angiospermae|naturalproduct_plant|naturalproduct	:9606|Homo sapiens	blood|feces|saliva|urine	|food consumption
PAEOIXITAYMQRF	naturalproduct			
PAFZNILMFXTMIY	|food|human|naturalproduct	9606|Homo sapiens		food consumption
PAHGJZDQXIOYTH	|food|human|naturalproduct	9606|Homo sapiens		food consumption
PAIASCMUTMHGHU	naturalproduct			
PAJPWUMXBYXFCZ	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
PANKHBYNKQNAHN	food_source_plant		feces	
PASZRDILCDRSOZ	|human|naturalproduct	9606|Homo sapiens		
PAUIQDPAEDELMC	|food|naturalproduct			food consumption
PAYNQYXOKJDXAV	plant|naturalproduct_plant			
PAYRUJLWNCNPSJ	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
PAZGBAOHGQRCBP	fungal|human	9606|Homo sapiens:34433|Leucoagaricus		
PBAPPPCECJKMCM	drug			|drug or medication use
PBAZKMWQUBDDLZ	naturalproduct			
PBCZLFBEBARBBI	drug			drug or medication use
PBEDWPIWZYHNPL	naturalproduct_bacterial			
PBEXSRJMCVDBFK	fungal|fungal_produced			
PBILEZBWIBJOSA	food|naturalproduct			
PBJUNZJWGZTSKL	drug|human	:9606|Homo sapiens	blood|urine	|drug or medication use
PBKZJIMGHNPKBJ	naturalproduct			
PBLWZMSRSJTRHJ	naturalproduct			
PBMAXTSZSCARIG	naturalproduct			
PBMSWVPMRUJMPE	drug			drug or medication use
PBPYEEMQIFDGSQ	naturalproduct			
